group,mean,se,p_msmw_w,replicate
WSM_prevalence,0.043226173541963,0.0004855085339461,0.05,14
WSM_hi_prevalence,0.4882750397456279,0.0070339032132999,0.05,14
MSW_prevalence,0.0325234708392603,0.0003907732407186,0.05,14
MSW_hi_prevalence,0.3787204926445432,0.0055140688350948,0.05,14
MSM_prevalence,0.1271171171171171,0.0019552985863881,0.05,14
MSM_hi_prevalence,0.5524060646011865,0.0104909052042022,0.05,14
MSMW_prevalence,0.0862162162162162,0.0032211144470483,0.05,14
MSMW_hi_prevalence,0.4521829521829522,0.0164213383382852,0.05,14
WSM_prevalence,0.0406145092460882,0.0006264147109339,0.05,16
WSM_hi_prevalence,0.4950418043943224,0.007849468833158,0.05,16
MSW_prevalence,0.0318406827880512,0.0004636580345882,0.05,16
MSW_hi_prevalence,0.3969465648854962,0.0061551060200225,0.05,16
MSM_prevalence,0.11009009009009,0.0029637068568108,0.05,16
MSM_hi_prevalence,0.449017199017199,0.0136830748948432,0.05,16
MSMW_prevalence,0.1027027027027027,0.0024476086462877,0.05,16
MSMW_hi_prevalence,0.4874184529356942,0.012546020817837,0.05,16
WSM_prevalence,0.0370640113798008,0.0005384067756834,0.05,18
WSM_hi_prevalence,0.4457472178060413,0.0076364661953433,0.05,18
MSW_prevalence,0.0288250355618776,0.000403653333692,0.05,18
MSW_hi_prevalence,0.363027027027027,0.0063404993227182,0.05,18
MSM_prevalence,0.1322522522522522,0.0035656155871625,0.05,18
MSM_hi_prevalence,0.519019019019019,0.0154652045047144,0.05,18
MSMW_prevalence,0.109054054054054,0.0029308717010211,0.05,18
MSMW_hi_prevalence,0.5175175175175176,0.0160125399408766,0.05,18
WSM_prevalence,0.0383613086770981,0.0004891329115297,0.05,22
WSM_hi_prevalence,0.4534086325131101,0.0078578823227783,0.05,22
MSW_prevalence,0.0293314366998577,0.0003491712015612,0.05,22
MSW_hi_prevalence,0.3856776484513711,0.0071470589594542,0.05,22
MSM_prevalence,0.1172972972972972,0.0027119461553,0.05,22
MSM_hi_prevalence,0.4876126126126126,0.0144963681178261,0.05,22
MSMW_prevalence,0.1228378378378378,0.0027844251280226,0.05,22
MSMW_hi_prevalence,0.5036855036855037,0.0133029870494844,0.05,22
WSM_prevalence,0.0419402560455192,0.0006210135262196,0.05,25
WSM_hi_prevalence,0.4951037994516254,0.0083204042127456,0.05,25
MSW_prevalence,0.0329217638691323,0.0004742266427849,0.05,25
MSW_hi_prevalence,0.3802045288531775,0.0059855778804698,0.05,25
MSM_prevalence,0.1500900900900901,0.003220011892011,0.05,25
MSM_hi_prevalence,0.558058058058058,0.0116628430407718,0.05,25
MSMW_prevalence,0.1271621621621621,0.0030728183289535,0.05,25
MSMW_hi_prevalence,0.5345345345345345,0.0155594042024211,0.05,25
WSM_prevalence,0.039027027027027,0.0004711998741277,0.05,27
WSM_hi_prevalence,0.4521396396396396,0.0075190987012215,0.05,27
